c Instance Type h
c
n 100
c w	 v1	 v2
i 394	 783 	 840 
i 911	 198 	 798 
i 768	 278 	 335 
i 477	 629 	 554 
i 513	 952 	 365 
i 636	 717 	 916 
i 607	 17 	 142 
i 138	 804 	 243 
i 401	 130 	 157 
i 998	 219 	 109 
i 839	 613 	 513 
i 637	 524 	 296 
i 972	 293 	 494 
i 527	 770 	 771 
i 891	 284 	 400 
i 807	 919 	 353 
i 949	 526 	 70 
i 193	 663 	 86 
i 349	 65 	 890 
i 458	 64 	 21 
i 970	 902 	 239 
i 267	 540 	 851 
i 760	 513 	 375 
i 532	 40 	 668 
i 931	 930 	 438 
i 285	 738 	 721 
i 354	 688 	 640 
i 440	 880 	 166 
i 331	 229 	 829 
i 351	 686 	 893 
i 589	 657 	 956 
i 440	 924 	 858 
i 814	 684 	 399 
i 483	 216 	 911 
i 920	 148 	 950 
i 641	 432 	 881 
i 281	 786 	 619 
i 447	 226 	 308 
i 276	 556 	 188 
i 170	 906 	 417 
i 126	 495 	 104 
i 984	 935 	 760 
i 383	 750 	 684 
i 294	 233 	 369 
i 245	 153 	 584 
i 126	 793 	 732 
i 745	 75 	 164 
i 53	 522 	 950 
i 240	 798 	 177 
i 656	 967 	 732 
i 759	 94 	 639 
i 520	 79 	 135 
i 205	 461 	 70 
i 573	 755 	 819 
i 158	 999 	 52 
i 890	 126 	 205 
i 55	 870 	 997 
i 5	 923 	 73 
i 181	 163 	 594 
i 913	 819 	 392 
i 552	 579 	 359 
i 687	 100 	 453 
i 757	 304 	 531 
i 577	 877 	 992 
i 629	 36 	 748 
i 833	 925 	 748 
i 831	 979 	 873 
i 903	 983 	 744 
i 497	 164 	 667 
i 889	 77 	 830 
i 248	 629 	 650 
i 700	 317 	 229 
i 232	 75 	 329 
i 224	 651 	 633 
i 971	 280 	 511 
i 719	 114 	 546 
i 592	 944 	 472 
i 337	 847 	 451 
i 4	 345 	 435 
i 833	 234 	 598 
i 483	 482 	 675 
i 712	 183 	 305 
i 41	 414 	 622 
i 674	 638 	 696 
i 185	 609 	 347 
i 730	 329 	 627 
i 203	 920 	 740 
i 653	 258 	 685 
i 88	 261 	 532 
i 686	 94 	 877 
i 362	 577 	 112 
i 666	 289 	 593 
i 289	 330 	 775 
i 984	 4 	 190 
i 332	 189 	 827 
i 958	 919 	 437 
i 699	 122 	 765 
i 384	 774 	 686 
i 916	 862 	 943 
i 793	 548 	 204 
c
c
W 26856
c end of file
