c Instance Type h 
c 
n 200 
c w v1 v2 v3 v4 v5 v6
i 394 783 840 906 823 623 631
i 911 198 798 820 509 443 987
i 768 278 335 100 429 269 709
i 477 629 554 933 862 375 133
i 513 952 365 941 208 43 444
i 636 717 916 493 460 572 635
i 607 17 142 736 15 539 264
i 138 804 243 318 232 37 815
i 401 130 157 821 610 782 321
i 998 219 109 181 509 214 959
i 839 613 513 844 734 661 112
i 637 524 296 23 757 181 574
i 972 293 494 281 717 609 183
i 527 770 771 380 892 50 581
i 891 284 400 762 720 846 718
i 807 919 353 830 584 389 352
i 949 526 70 158 371 788 873
i 193 663 86 261 582 307 340
i 349 65 890 365 784 216 921
i 458 64 21 53 859 998 487
i 970 902 239 84 541 915 113
i 267 540 851 443 496 326 34
i 760 513 375 512 949 427 12
i 532 40 668 465 576 218 198
i 931 930 438 8 486 2 260
i 285 738 721 421 938 869 638
i 354 688 640 326 564 21 480
i 440 880 166 849 634 792 434
i 331 229 829 345 801 884 978
i 351 686 893 223 795 229 527
i 589 657 956 50 945 16 486
i 440 924 858 805 943 617 454
i 814 684 399 395 319 420 91
i 483 216 911 204 453 893 802
i 920 148 950 743 56 573 683
i 641 432 881 955 594 558 16
i 281 786 619 72 449 869 380
i 447 226 308 460 123 17 477
i 276 556 188 376 264 545 46
i 170 906 417 549 86 836 520
i 126 495 104 229 122 245 570
i 984 935 760 243 672 573 312
i 383 750 684 691 366 704 6
i 294 233 369 816 77 676 316
i 245 153 584 573 323 483 601
i 126 793 732 913 700 126 930
i 745 75 164 138 794 67 196
i 53 522 950 578 158 902 522
i 240 798 177 235 642 82 770
i 656 967 732 642 608 6 468
i 759 94 639 809 458 427 360
i 520 79 135 703 523 86 286
i 205 461 70 508 989 816 781
i 573 755 819 206 781 420 840
i 158 999 52 244 842 808 334
i 890 126 205 170 245 853 356
i 55 870 997 895 702 113 989
i 5 923 73 896 100 566 906
i 181 163 594 238 971 432 912
i 913 819 392 545 464 525 615
i 552 579 359 876 820 40 155
i 687 100 453 314 719 740 172
i 757 304 531 878 723 140 55
i 577 877 992 286 120 183 739
i 629 36 748 345 877 20 212
i 833 925 748 765 871 824 865
i 831 979 873 495 343 912 695
i 903 983 744 662 312 476 47
i 497 164 667 916 257 354 601
i 889 77 830 241 928 156 134
i 248 629 650 260 62 292 434
i 700 317 229 595 64 373 138
i 232 75 329 456 72 747 881
i 224 651 633 678 838 125 511
i 971 280 511 761 180 760 523
i 719 114 546 570 586 501 160
i 592 944 472 698 462 549 95
i 337 847 451 946 606 811 79
i 4 345 435 308 480 194 4
i 833 234 598 783 328 876 570
i 483 482 675 196 535 147 302
i 712 183 305 506 183 55 877
i 41 414 622 358 218 885 413
i 674 638 696 886 258 842 897
i 185 609 347 497 472 61 887
i 730 329 627 678 486 705 807
i 203 920 740 258 908 57 746
i 653 258 685 174 196 8 281
i 88 261 532 155 229 702 769
i 686 94 877 994 121 701 424
i 362 577 112 132 307 807 428
i 666 289 593 363 988 793 351
i 289 330 775 870 746 553 946
i 984 4 190 935 200 148 932
i 332 189 827 600 727 670 100
i 958 919 437 7 276 790 449
i 699 122 765 465 592 500 434
i 384 774 686 667 125 448 468
i 916 862 943 500 946 745 587
i 793 548 204 174 688 613 2
i 905 909 297 542 533 843 700
i 498 576 874 464 496 185 770
i 274 864 163 195 941 476 553
i 464 849 492 956 976 435 883
i 291 181 496 7 66 381 700
i 727 139 684 695 868 649 194
i 492 838 603 176 533 409 730
i 179 222 724 213 329 859 706
i 122 139 499 488 114 596 251
i 325 931 361 486 528 957 256
i 622 836 908 763 843 976 825
i 496 335 818 151 517 599 703
i 659 609 394 260 758 433 628
i 152 73 259 993 128 486 847
i 647 364 108 626 129 598 475
i 332 92 288 889 386 815 725
i 934 583 427 56 238 480 764
i 659 762 266 113 833 604 882
i 158 883 487 70 384 45 374
i 518 208 626 837 503 948 971
i 426 830 558 978 984 838 167
i 245 326 394 403 157 238 553
i 639 984 729 73 590 49 46
i 897 136 338 468 475 862 737
i 6 783 411 987 709 4 13
i 294 115 774 510 881 319 571
i 721 50 865 751 403 57 872
i 986 708 449 718 364 505 734
i 474 865 211 545 278 50 387
i 100 383 94 326 863 629 504
i 657 809 302 401 999 867 429
i 52 54 132 517 805 489 999
i 781 692 458 670 396 923 313
i 119 590 443 654 625 329 412
i 530 595 579 87 271 106 613
i 304 888 362 991 114 468 797
i 170 610 477 687 606 373 149
i 619 596 526 369 955 418 290
i 829 71 234 522 83 423 239
i 923 170 99 711 90 235 481
i 226 826 482 361 77 160 305
i 357 878 291 994 58 813 160
i 815 659 344 518 105 959 126
i 258 778 37 744 147 120 196
i 836 308 626 34 445 845 558
i 198 612 221 958 833 919 244
i 674 782 110 300 606 858 177
i 201 401 719 103 345 115 932
i 434 231 316 94 183 886 509
